date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2013-01-14,14000.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0,1057.0,777.0,11.0
2013-01-15,15772.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0,1057.0,777.0
2013-01-16,15799.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0,1057.0
2013-01-17,16840.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0
2013-01-18,17666.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0
2013-01-19,18488.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0
2013-01-20,19494.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0
2013-01-21,14022.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0
2013-01-22,15879.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0
2013-01-23,15776.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0
2013-01-24,16673.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0
2013-01-25,17841.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0
2013-01-26,18668.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0
2013-01-27,19664.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0
2013-01-28,14256.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0
2013-01-29,15983.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0
2013-01-30,15554.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0
2013-01-31,16870.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0
2013-02-01,19603.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0
2013-02-02,20451.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0
2013-02-03,21449.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0
2013-02-04,15311.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0
2013-02-05,17138.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0
2013-02-06,17310.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0
2013-02-07,18204.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0
2013-02-08,19377.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0
2013-02-09,20382.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0
2013-02-10,21407.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0
2013-02-11,15260.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0
2013-02-12,17247.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0
2013-02-13,17441.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0
2013-02-14,18360.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0
2013-02-15,19488.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0
2013-02-16,20312.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0
2013-02-17,21326.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0
2013-02-18,15123.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0
2013-02-19,17365.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0
2013-02-20,17036.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0
2013-02-21,18251.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0
2013-02-22,19394.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0
2013-02-23,20356.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0
2013-02-24,21298.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0
2013-02-25,15376.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0
2013-02-26,17251.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0
2013-02-27,17148.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0
2013-02-28,18240.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0
2013-03-01,22749.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0
2013-03-02,23806.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0
2013-03-03,24804.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0
2013-03-04,17816.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0
2013-03-05,20208.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0
2013-03-06,20317.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0
2013-03-07,21015.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0
2013-03-08,22563.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0
2013-03-09,23723.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0
2013-03-10,24862.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0
2013-03-11,17421.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0
2013-03-12,19826.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0
2013-03-13,20364.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0
2013-03-14,21301.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0
2013-03-15,22526.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0
2013-03-16,23872.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0
2013-03-17,24976.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0
2013-03-18,17527.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0,109.0
2013-03-19,20014.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0,698.0
2013-03-20,19993.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0,1548.0
2013-03-21,21012.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0,1160.0
2013-03-22,22536.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0,1139.0
2013-03-23,23730.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0,-7441.0
2013-03-24,24944.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0,2405.0
2013-03-25,17759.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0,538.0
2013-03-26,20083.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0,937.0
2013-03-27,20128.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0,1225.0
2013-03-28,21520.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0,1346.0
2013-03-29,22314.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0,1104.0
2013-03-30,24019.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0,-7449.0
2013-03-31,25217.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0,2487.0
2013-04-01,20122.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0,-21.0
2013-04-02,22790.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0,1019.0
2013-04-03,22769.0,-21.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0,1524.0
2013-04-04,24460.0,1691.0,-21.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0,1194.0
2013-04-05,25719.0,1259.0,1691.0,-21.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0,1214.0
2013-04-06,27325.0,1606.0,1259.0,1691.0,-21.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0,-7185.0
2013-04-07,28570.0,1245.0,1606.0,1259.0,1691.0,-21.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0,2324.0
2013-04-08,20071.0,-8499.0,1245.0,1606.0,1259.0,1691.0,-21.0,2668.0,-5095.0,1198.0,1705.0,794.0,1392.0,45.0
